episode_id,episode_length,episode_return,positive_rewards,negative_rewards,total_reward_magnitude,action_agreement_rate,repeated_frames,unique_actions,most_common_action
177,2606,-1.0,20,21,41.0,0.9213353798925557,662,6,0
178,2372,-4.0,17,21,38.0,0.9127318718381113,562,6,0
179,2490,-2.0,19,21,40.0,0.9216867469879518,650,6,0
180,2821,-4.0,17,21,38.0,0.9110244594115562,718,6,0
181,2684,-4.0,17,21,38.0,0.9202682563338301,632,6,0
182,2594,7.0,21,14,35.0,0.9151888974556669,616,6,0
183,2762,-5.0,16,21,37.0,0.9286748732802317,680,6,0
184,2653,-4.0,17,21,38.0,0.9246136449302677,657,6,0
185,2853,5.0,21,16,37.0,0.935856992639327,701,6,0
186,2211,11.0,21,10,31.0,0.919041157847128,534,6,0
187,2365,6.0,21,15,36.0,0.9090909090909091,611,6,0
188,2637,-3.0,18,21,39.0,0.9165718619643535,662,6,0
189,2385,-2.0,19,21,40.0,0.9169811320754717,624,6,0
190,2056,14.0,21,7,28.0,0.9328793774319066,501,6,0
191,2589,-1.0,20,21,41.0,0.9127076091154886,680,6,0
192,1936,18.0,21,3,24.0,0.9333677685950413,477,6,0
193,2694,6.0,21,15,36.0,0.9265033407572383,673,6,0
194,2064,15.0,21,6,27.0,0.9161821705426356,572,6,0
195,2720,-1.0,20,21,41.0,0.9176470588235294,663,6,0
196,2387,10.0,21,11,32.0,0.9271051529116046,610,6,0
197,3031,-1.0,20,21,41.0,0.9251072253381722,736,6,0
198,2727,3.0,21,18,39.0,0.918958562522919,669,6,0
199,2276,9.0,21,12,33.0,0.9231107205623902,571,6,0
